Titulo,Autor,Precio,Precio_socio,Link
Haizeari Begira,Jon Ariza De Miguel,15.05,14.3,https://www.elkar.eus/es/liburu_fitxa/haizeari-begira/ariza-de-miguel-jon/9788490277416
Tigre Batekin Bizi,Harkaitz Cano Jauregi / Maite Gurrutxaga Otamendi (il),13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/tigre-batekin-bizi/cano-jauregi-harkaitz/gurrutxaga-otamendi-maite-il/9788490277423
Alexis Zorbaren Hitzak Eta Egintzak,Nikos Kazantzakis,25.0,23.75,https://www.elkar.eus/es/liburu_fitxa/alexis-zorbaren-hitzak-eta-egintzak/kazantzakis-nikos/9788490275788
Labur Txintan,Juan Kruz Igerabide Sarasola,13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/labur-txintan/igerabide-sarasola-juan-kruz/9788491720034
El sacrificio de los peces,Carlos Egia Ossorio,22.4,21.28,https://www.elkar.eus/es/liburu_fitxa/sacrificio-de-los-peces-el/egia-ossorio-carlos/9788471485816
Pintto Eta Rock-A,Magali Le Huche,13.75,13.06,https://www.elkar.eus/es/liburu_fitxa/pintto-eta-rock-a/le-huche-magali/9788498437591
Etaren Historia Laburra,Iñaki Egaña Sevilla,17.8,16.91,https://www.elkar.eus/es/liburu_fitxa/etaren-historia-laburra/egana-sevilla-inaki/9788417065119
"Pacientes Del Doctor Garcia, Los - Episodios De Una Guerra Interminable",Almudena Grandes,22.9,21.76,https://www.elkar.eus/es/liburu_fitxa/pacientes-del-doctor-garcia-los-episodios-de-una-guerra-interminable/grandes-almudena/9788490664322
Montessori Para Bebes,Charlot Poussin,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/montessori-para-bebes/poussin-charlot/9788417002831
Aitak Esan Dit,Astrid Desbordes / Pauline Martin (il. ),12.2,11.59,https://www.elkar.eus/es/liburu_fitxa/aitak-esan-dit/desbordes-astrid/martin-pauline-il/9788498437539
Rutas Botanicas Por Parajes De Ensueño,Jon Benito,17.95,17.05,https://www.elkar.eus/es/liburu_fitxa/rutas-botanicas-por-parajes-de-ensueno/benito-jon/9788482166483
Zukafukamusuka,Judit Ruiz De Munain,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/zukafukamusuka/ruiz-de-munain-judit/9788417065010
Berriak Jaio Ginen,Jon Maia Soria,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/berriak-jaio-ginen/maia-soria-jon/9788494698101
4 3 2 1,Paul Auster,23.9,22.71,https://www.elkar.eus/es/liburu_fitxa/4-3-2-1/auster-paul/9788432232893
Bihotzen Sendagilea,Kristien Aertssen,13.98,13.28,https://www.elkar.eus/es/liburu_fitxa/bihotzen-sendagilea/aertssen-kristien/9788498437683
Millennium 5 - El Hombre Que Perseguia Su Sombra,David Lagercrantz,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/millennium-5-el-hombre-que-perseguia-su-sombra/lagercrantz-david/9788423352555
De Que Hablo Cuando Hablo De Escribir,Haruki Murakami,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/de-que-hablo-cuando-hablo-de-escribir/murakami-haruki/9788490663998
Elkarrekin Esnatzeko Ordua,Kirmen Uribe,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/elkarrekin-esnatzeko-ordua/uribe-kirmen/9788492468928
Ospa,Juan Luis Zabala,17.5,16.63,https://www.elkar.eus/es/liburu_fitxa/ospa/zabala-juan-luis/9788492468997
"Ferrocarril Subterraneo, El (national Book Award 2016)",Colson Whitehead,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/ferrocarril-subterraneo-el-national-book-award-2016/whitehead-colson/9788439733003
Recursos Inhumanos,Pierre Lemaitre,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/recursos-inhumanos/lemaitre-pierre/9788420417837
Kresalaren Taberna (a1) (+cd),Miren Agur Meabe Plaza / Aritz Eiguren Aldanondo (il. ),12.85,12.21,https://www.elkar.eus/es/liburu_fitxa/kresalaren-taberna-a1-cd/meabe-plaza-miren-agur/eiguren-aldanondo-aritz-il/9788490277157
Gerrak Ez Du Emakume Aurpegirik (jokin Zaitegi Saria 2016),Svetlana Aleksievtx,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/gerrak-ez-du-emakume-aurpegirik-jokin-zaitegi-saria-2016/aleksievtx-svetlana/9788490277003
Pikondoaren Balada (lizardi Saria 2016),Leire Bilbao Barruetabeña / Maite Mutuberria (il. ),11.75,11.16,https://www.elkar.eus/es/liburu_fitxa/pikondoaren-balada-lizardi-saria-2016/bilbao-barruetabena-leire/mutuberria-maite-il/9788490277102
"Trump, Amesgaizto Amerikarra",Batzuk,16.5,15.68,https://www.elkar.eus/es/liburu_fitxa/trump-amesgaizto-amerikarra/batzuk/9788490277430
"Cama Familiar, Noches Felices - O Como Dejarte Llevar Por El Instinto En La Crianza De Tu Hijo",Jose Luis Segura,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/cama-familiar-noches-felices-o-como-dejarte-llevar-por-el-instinto-en-la-crianza-de-tu-hijo/segura-jose-luis/9788471485731
Gabon!,Soledad Bravi / Benoit Marchon (il. ),8.75,8.31,https://www.elkar.eus/es/liburu_fitxa/gabon/bravi-soledad/marchon-benoit-il/9788498437287
Ekaitzaren Zipriztinak (tene Mujika Saria 2016),Miren Garate Zendoia,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/ekaitzaren-zipriztinak-tene-mujika-saria-2016/garate-zendoia-miren/9788490277010
Eskularru Beltzak,"Jasone Osoro Igartua / J. ""josevisky"" Larretxe (il. )",15.8,15.01,https://www.elkar.eus/es/liburu_fitxa/eskularru-beltzak/osoro-igartua-jasone/larretxe-j-josevisky-il/9788490276785
La magia del origami antiestres,Samuel Tsang,12.9,12.26,https://www.elkar.eus/es/liburu_fitxa/magia-del-origami-antiestres-la/tsang-samuel/9788401018718
El hijo del capitan,Sergio Pereira Zumalakarregi,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/hijo-del-capitan-el/pereira-zumalakarregi-sergio/9788498437546
"Semilla Del Odio, La - De La Invasion De Irak Al Surgimiento Del Isis",Javier Espinosa Robles / M Garcia Prieto,21.9,20.81,https://www.elkar.eus/es/liburu_fitxa/semilla-del-odio-la-de-la-invasion-de-irak-al-surgimiento-del-isis/espinosa-robles-javier/garcia-prieto-m/9788499927466
Gelditu Zaitezte Gurekin,Ana Malagon Zaldua,15.8,15.01,https://www.elkar.eus/es/liburu_fitxa/gelditu-zaitezte-gurekin/malagon-zaldua-ana/9788490276907
Minorreko Komedia,Hans Keilson,15.5,14.73,https://www.elkar.eus/es/liburu_fitxa/minorreko-komedia/keilson-hans/9788416350728
"Ese Viejo Neon, El amor",Karmelo Iribarren,12.9,12.26,https://www.elkar.eus/es/liburu_fitxa/amor-ese-viejo-neon-el/iribarren-karmelo/9788403515987
Tormenta En La Habana,Clive Cussler,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/tormenta-en-la-habana/cussler-clive/9788401018541
El salvaje,Guillermo Arriaga,21.9,20.81,https://www.elkar.eus/es/liburu_fitxa/salvaje-el/arriaga-guillermo/9788420419640
Banderas En La Niebla,Javier Reverte,22.9,21.76,https://www.elkar.eus/es/liburu_fitxa/banderas-en-la-niebla/reverte-javier/9788401019432
Recordaran Tu Nombre,Lorenzo Silva,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/recordaran-tu-nombre/silva-lorenzo/9788423352340
2065,Jose Miguel Gallardo,18.9,17.96,https://www.elkar.eus/es/liburu_fitxa/2065/gallardo-jose-miguel/9788416700820
Julene Bakarrik Dago Ikasgelan,Nathalie Dargent / Yannick Thome (il. ),7.1,6.75,https://www.elkar.eus/es/liburu_fitxa/julene-bakarrik-dago-ikasgelan/dargent-nathalie/thome-yannick-il/9788498437331
100 Kontu Ondo Ezagutzeko Giza Gorputza,Alex Frith / Federico Mariani,14.25,13.54,https://www.elkar.eus/es/liburu_fitxa/100-kontu-ondo-ezagutzeko-giza-gorputza/frith-alex/mariani-federico/9788498436792
Amor Y Asco,@srtabebi,14.0,13.3,https://www.elkar.eus/es/liburu_fitxa/amor-y-asco/-srtabebi/9788494567674
Hori Guztia Emango Dizut,Dolores Redondo,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/hori-guztia-emango-dizut/redondo-dolores/9788491092063
Mi Verdadera Historia,Juan Jose Millas,9.95,9.45,https://www.elkar.eus/es/liburu_fitxa/mi-verdadera-historia/millas-juan-jose/9788432232428
"Emakumeak, Arraza Eta Klasea",Angela Davis,23.0,21.85,https://www.elkar.eus/es/liburu_fitxa/emakumeak-arraza-eta-klasea/davis-angela/9788490275931
Todo Esto Te Dare (premio Planeta 2016),Dolores Redondo,21.9,20.81,https://www.elkar.eus/es/liburu_fitxa/todo-esto-te-dare-premio-planeta-2016/redondo-dolores/9788408163176
Tres Veces Tu,Federico Moccia,18.9,17.96,https://www.elkar.eus/es/liburu_fitxa/tres-veces-tu/moccia-federico/9788408165996
Los ritos del agua,Eva G. Saenz De Urturi,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/ritos-del-agua-los/saenz-de-urturi-eva-g/9788408169451
Ez Dok Hiru,Patxo Telleria De La Fuente,9.0,8.55,https://www.elkar.eus/es/liburu_fitxa/ez-dok-hiru/telleria-de-la-fuente-patxo/9788490277140
La chica de antes,J. P. Delaney,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/chica-de-antes-la/delaney-j-p/9788425355271
Koadernoa Zuri,Arantxa Iturbe Maiz,11.5,10.93,https://www.elkar.eus/es/liburu_fitxa/koadernoa-zuri/iturbe-maiz-arantxa/9788490276884
"Neskak Eta Mutilak - Norbera, Den Bezalakoa",Aingeru Mayor / Susana Monteagudo,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/neskak-eta-mutilak-norbera-den-bezalakoa/mayor-aingeru/monteagudo-susana/9788494601323
El monarca de las sombras,Javier Cercas,20.9,19.86,https://www.elkar.eus/es/liburu_fitxa/monarca-de-las-sombras-el/cercas-javier/9788439732570
Los herederos de la tierra,Ildefonso Falcones,22.9,21.76,https://www.elkar.eus/es/liburu_fitxa/herederos-de-la-tierra-los/falcones-ildefonso/9788425354236
"Hizkuntza, Nazioa, Estatua",Joxe Azurmendi Otaegi,12.0,11.4,https://www.elkar.eus/es/liburu_fitxa/hizkuntza-nazioa-estatua/azurmendi-otaegi-joxe/9788490275986
Trikitixa Liburua Ii (+cd),Xabi Solano Maiza,22.0,20.9,https://www.elkar.eus/es/liburu_fitxa/trikitixa-liburua-ii-cd/xabi-solano-maiza/9788490276747
Sol Robado,M. O. Walsh,19.0,18.05,https://www.elkar.eus/es/liburu_fitxa/sol-robado/walsh-m-o/9788490663615
Kontxako Haur Galduak,Seve Calleja,10.0,9.5,https://www.elkar.eus/es/liburu_fitxa/kontxako-haur-galduak/calleja-seve/9788491091646
La quimica,Stephenie Meyer,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/quimica-la/meyer-stephenie/9788491291244
De Los Vascos Sin Historia A Los Vascos Con Historia,Joseba Agirreazkuenaga,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/de-los-vascos-sin-historia-a-los-vascos-con-historia/agirreazkuenaga-joseba/9788471485755
Begoñaren Itzalpean,Jose Inazio Basterretxea Polo,20.75,19.71,https://www.elkar.eus/es/liburu_fitxa/begonaren-itzalpean/basterretxea-polo-jose-inazio/9788490276648
